respondent.id,totshopping.rep
2016_9,10.154005674735231
2016_15,70.55376566674039
2016_16,110.45123703642216
2016_24,63.21147737197333
2016_32,92.82036553442978
2016_38,200.76464147899503
2016_39,54.55648790423896
2016_40,144.32579848602296
2016_47,56.04461879692985
2016_51,26.12151526966852
2016_57,229.10792514659673
2016_63,277.4421523236313
2016_82,200.22054761820615
2016_91,87.92916331764289
2016_92,28.082956263120195
2016_96,28.082956263120195
2016_97,58.00605979038153
2016_100,28.082956263120195
2016_103,150.52875220453447
2016_105,549.3234221029217
2016_109,50.60502998189946
2016_110,120.42560487884256
2016_112,141.20998980351513
2016_117,63.21147737197333
2016_119,224.37514378023815
2016_122,35.40632640450008
2016_128,191.8287815104202
2016_131,92.89723038011056
2016_133,125.86519369387295
2016_141,153.62992518495236
2016_145,63.21147737197333
2016_153,123.05768442649602
2016_165,44.5821200618185
2016_166,205.66013643323652
2016_169,177.69847389942686
2016_172,22.34588447776332
2016_176,427.057669959938
2016_177,249.0988686560296
2016_182,251.6749885649429
2016_188,35.1796271942016
2016_191,150.8928022668928
2016_206,60.49965175098663
2016_211,216.85829835663043
2016_214,31.039902484404138
2016_215,1023.5582995117131
2016_216,200.76464147899503
2016_250,75.44337824068452
2016_252,238.2212806688117
2016_253,156.99985035043932
2016_260,90.50250135158126
2016_264,261.6493564073633
2016_267,55.04718201268781
2016_270,229.10792514659673
2016_278,90.50250135158126
2016_279,67.23053976865532
2016_291,101.02096305479057
2016_294,63.21147737197333
2016_299,101.02096305479057
2016_300,180.81590579415413
2016_302,377.1858307478358
2016_305,67.24278072032376
2016_307,35.08992528078636
2016_311,51.05743487571965
2016_313,80.5281335091608
2016_315,50.60502998189946
2016_317,63.21147737197333
2016_323,71.50078327897262
2016_326,640.6753344193403
2016_330,124.41927062577406
2016_337,790.290852055647
2016_339,75.99335448177072
2016_340,491.05981678303357
2016_342,494.2967187587443
2016_343,60.02584488683749
2016_349,433.49656634619123
2016_359,109.4155110375514
2016_361,95.94209016661159
2016_366,198.32380929912986
2016_371,391.3161383588291
2016_381,129.3642467223923
2016_385,341.4442991467269
2016_386,206.87168956254152
2016_390,879.8939700058263
2016_401,101.02096305479057
2016_403,101.02096305479057
2016_404,10.154005674735231
2016_409,28.082956263120195
2016_411,1064.6795649623682
2016_420,117.10414038731656
2016_421,115.43842095763233
2016_425,59.54367182544917
2016_444,41.054093687152374
2016_463,540.9316559951358
2016_470,162.71780527705366
2016_472,139.33861456481273
2016_477,165.52610936585202
2016_478,67.24278072032376
2016_487,27.333068398973523
2016_488,39.59493614060824
2016_490,300.60139980765564
2016_493,254.19387782262083
2016_501,810.2395877404878
2016_503,1902.4328664855261
2016_507,109.4155110375514
